"LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
-34.0790989261527 -34.0754820654105 -39.8500037874104 -18.3544343867649 -7.31854373288983 -16.7128508448451
-35.6700841552244 -33.9186513383472 -39.958394094915 -19.20144417661 -5.00134150213121 -13.005534618263
-45.5295566979886 -36.8079633986783 -43.4361606114582 -18.4409724622947 -11.40270997672 -21.1430964977789
-39.3480738718224 -35.892171035207 -39.4979461890385 -23.527687961558 -12.6828314307271 -17.7505094096961
-38.432438660505 -31.5991503851663 -39.101940813418 -16.287406009679 -7.0369337479058 -11.4842946289626
-40.7254456372364 -39.4143872718035 -41.2206717587265 -13.1747310885552 -0.0385970216919394 -9.68922551180182
-37.6405673662224 -34.1930100833103 -38.4687171945639 -10.5203201654413 -7.73893793431182 -18.5054021109474
-39.0099520990861 -33.4630192903668 -39.7075029581924 -7.70728384481905 -0.0393726814815152 -6.0220710642497
-36.3073255244548 -35.2261877750167 -32.3736801221032 -14.9139237342617 -6.82703619981299 -17.263790209524
-43.5843344410602 -39.8049366129608 -31.7478802086558 -10.9877543176767 -4.13182826774561 -10.088901513211
-42.137277434288 -38.7013110724386 -35.1326495484215 -22.3620005461658 -10.153032006238 -20.0319935498959
-43.6563868371744 -37.1238948571947 -43.8804418392364 -12.8017249726217 -8.2467774920054 -18.408323568447
-45.3324414518294 -36.026731748634 -42.3163227336132 -12.0263612675221 -8.02769544185679 -18.1852615314582
-36.045798338606 -39.4350556917603 -44.0250551898965 -17.012620528693 0.153859512369848 -6.00043352049212
-52.7539719146735 -43.2964831416179 -38.899445156412 -16.5301729172076 -4.79033278547924 -14.1284001381503
-52.030115122206 -50.698675608242 -58.0786006749268 -19.5400746531174 -10.1413146972247 -19.53260855327
-51.9240530338341 -47.8082961316906 -58.7711802007479 -18.8660869496886 -10.7385080230056 -14.520352794978
-48.4986475883899 -42.3994980776306 -54.3429761570924 -22.0908153433127 -20.7639705666532 -24.7352154724094
-61.597889711888 -53.1568400640917 -53.6950066595835 -3.84735366033619 6.0427193147982 -7.87565182996894
-50.1736317853334 -47.9227589044185 -51.3617347279042 -4.86556685712215 -2.06125178132605 -10.4939064829735
-65.6385115950059 -63.1657092070297 -65.8895919164255 -12.4598630254225 -6.28404145241409 -14.0385663071586
-51.7622530174856 -44.6502253135776 -45.787473653048 -7.44479542066523 -5.30574907685729 -8.05191178426439
-53.1686424009605 -49.3757173959469 -49.9850477006529 -5.71910568861606 -0.295513535229848 -13.2312311733309
-53.1477216788127 -50.1258089398597 -50.6749834335227 -20.7035313590394 -13.27840436733 -21.3944966936059
-47.8184058877518 -47.9449520518368 -54.7049932770138 -31.0915640428423 -20.0652155716435 -28.3022183224003
-56.5959744026301 -57.1123165715194 -54.7903566193732 -18.8056847113056 -8.77465518236985 -18.16858936993
-55.2809432097277 -51.7025296075338 -59.5062847566743 -17.9721348083681 -7.94709818950045 -18.7684938987341
-59.9769069845278 -52.6349603231903 -56.2809481568898 -16.949087611842 -6.41224190155332 -16.493478609862
-51.546262585338 -44.3413294011073 -48.5536766903542 -13.6128747029933 -8.58300907493871 -11.3658797950673
-51.3603619651983 -45.3876256022454 -42.1432222134044 -17.3563367358561 -13.4864502652151 -22.0293442382878
